id,name,brand,sourceOrigin,currentStatus,proposedStatus,productScope,category,categoryAnomaly,expectedCategory,duplicateStatus,variantStatus,jan,officialSource,sourceQuality,price,priceWarning,brandStatus,verifiedCandidate,reason
274,ビオデルマ サンシビオ マイルド ウォッシングジェル 200mL,ビオデルマ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,3401381507565,,D,2590,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
275,メートル・サボン・ド・マルセイユ サボン・ド・プロヴァンス ハニー 100g メートル・サボン・ド・マルセイユ アロマソープ,ブランド情報未掲載,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,3182611231039,,D,350,none,unknown,false,ブランド:unknown
276,ナイーブ メイク落とし洗顔フォーム(うるおい)(180g),ナイーブ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901417672858,,D,319,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
277,みなしょう OUHAソープ 洗顔石けん ハイビスカス 47g,有限会社 沖縄ウコン販売,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4538801000944,,D,770,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
278,山田養蜂場ハニーラボ 完熟蜂蜜サボン洗顔石けん枠練,山田養蜂場,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4930830109054,,D,2530,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
279,専科 メイクも落とせる洗顔料a(120g),専科,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901872471805,,D,530,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
280,EGFセルソアンEGFエクストラクリームソープ,バイオリンク販売,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4545810004016,,D,6050,high-outlier,normal,false,価格:high-outlier
281,SEKKISEI(雪肌精)化粧水仕立て 石鹸 100g,雪肌精,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4971710251616,,D,1650,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
282,かづきれいこ イデアモイスト クリアウォッシュ 120ml,dinos,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4560289180412,,D,2640,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
283,メルサボン フェイスウォッシュ フローラルハーブ(130g),メルサボン,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4560249795137,,D,506,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
284,エリナ フェーシャルスクラブクリーム,エリナ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4562210001001,,D,4242,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
285,チアリーフ 洗顔フォーム ヒアルロン酸 100g CHEERLIEF チアリ-フセンガンフオ-ムヒアルロン,DEVIL BEAUTY,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4595988192022,,D,335,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
286,ビオテルム オムアクアパワークレンザー /4.22oz,ビオテルム,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,3605540600849,,D,4264,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
287,こんにゃくスポンジ和の力フェイス用白,山本農場,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4993924010414,,D,1210,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
288,綾花 潤肌実 メイク落とし 洗顔 石けん(80g),綾花,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4580080663570,,D,2750,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
289,DEW クリアクレイフォンデュ MT(90g),DEW(デュウ),rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4973167068304,,D,2780,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
290,プロハーブEM ホワイト洗顔クリーム(100g),プロハーブ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4937762288512,,D,1760,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
291,エクスボーテ 薬用オルリッチ クリアウォッシュ 90g,エクスボーテ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4511981011030,,D,3520,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
292,ロゼット 洗顔パスタ 本体/グリーンティーの香り 120g,ロゼット,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901696501290,,D,607,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
293,ギャツビー フェイシャルウォッシュ パーフェクトスクラブ(130g),ギャツビー(GATSBY),rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4902806470642,,D,254,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
294,パックス オリー フェイスフォーム 詰替用(140ml),パックスオリー,rakuten_product_api,pending,pending,face,洗顔,false,,refill,refill,4904735054221,,D,726,none,normal,false,重複・variant:refill
295,クレンジア はちみつ洗顔フォーム,ウアオ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4512442005575,,D,1480,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
296,ちふれ 泡洗顔 S(180ml),ちふれ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4974972258614,,D,715,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
297,エスト クレンジングエッセンス エンリッチド チューブタイプ,エスト,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901301354594,,D,3300,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
298,ほっぺの気持ち洗顔石鹸(75g),ペリカン石鹸,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4976631150109,,D,398,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
299,LISSAGE(リサージ)ボーテ クリーミィソープa 125g,リセージ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4973167261002,,D,3960,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
300,sim sim セサミハンガリアンソープ 泡立てネット&ケース付,しむら,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4580299100361,,D,2600,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
301,ママバター マイン フェイスウォッシュ オレンジ&ゼラニウムの香り 160ml,ママバター,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4977673145566,,D,2070,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
302,ゼロ スノーウィーソープ(90g),クロス・エ・キューブ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4562261830018,,D,2970,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
303,cyclear 薬用 ビタミンC 洗顔 本体 120g,熊野油脂,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4513574042865,,D,385,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
304,炭洗顔クリーム,アズマ商事,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4528428500019,,D,2574,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
305,ロゼット洗顔パスタ 海泥スムース 180g,ロゼット,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901696541906,,D,907,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
306,SABON フェイスポリッシャー リラクシングラベンダー 200ml,サボン,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,7290114041249,,D,4928,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
307,アヴァンセ マイルド洗顔パウダー(50g),アヴァンセ(AVANCE),rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4531560302250,,D,1650,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
308,4511413527702 DHC for MEN 薬用 フォーミング フェース ウォッシュ 150mL 洗顔フォーム 洗顔料 ボタニカル 医薬部外品DHC フェイス 洗う,DHC,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4511413527702,,D,1430,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
309,ビオレ おうちdeエステ ディープクレイ洗顔(180g),ビオレフェイスケア,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901301464057,,D,2260,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
310,Arencia プレミアムもちソープ 120g グリーン,Arencia,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,8809562190738,,D,1710,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
311,セルピュア オールフォーム(150ml),フロンティア,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4589986320020,,D,2750,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
312,fromo フローモ フェイスソープ ゼンザイ 洗顔石鹸,フローモ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4560337590248,,D,1760,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
313,SAM'U PHセンシティブジェルフォーム,サミュ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,8809505031586,,D,1680,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
314,焼塩夢石けん(60g),遠赤青汁,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4946403809016,,D,2200,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
315,CAC ウォッシングパウダー さっぱり/無香料 1.1g,CAC,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4932704510317,,D,2607,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
316,オリリー クリスタルソープ 100g,オリリー,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4951039012716,,D,1870,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
317,新日本製薬 パーフェクトワン フォーカス スキンクリアジェルウォッシュ 120g,新日本製薬,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4512274021903,,D,2200,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
318,5月15日 MEDIHEAL メディヒール THE ティーツリー カーミング パウダーウォッシュ 50g,メディヒール,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,8809936740101,,D,1870,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
319,コスメデコルテ AQ ウォッシング クリーム 129g 沖縄・離島を除く 化粧品 コスメ COSME DECORTE,コスメデコルテ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4971710366921,,D,5460,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
320,クリニーク リキッドフェーシャルソープ マイルド(200ml),CLINIQUE(クリニーク),rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4517989502358,,D,3029,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
321,コモエース マイルドソープ 100g,コモエース,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4531011003125,,D,1980,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
322,MENARD TK ウオッシングクリーム 無香料 130g,メナード,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4549051711634,,D,2750,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
323,ロゼット 洗顔パスタ ガスールブライト(120g),ロゼット 洗顔パスタ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901696541852,,D,660,none,extraction-candidate,false,ブランド:extraction-candidate
324,シラスソープ シラスソープ オリジナル,日本衛生センター,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4580324790932,,D,2163,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
325,エスケー石鹸 HaRe’s 四肌のスキンソープ 100g,エスケー石鹸,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4964495710652,,D,3960,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
326,ボタニカルマルシェ マッサージ洗顔ジェリー 本体 180g,エイチ・アンド・ビー・ラボ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4589530701374,,D,1078,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
327,ダヴ 薬用ニキビケア クリーミー泡洗顔料(160ml),ダヴ(Dove) 泡洗顔,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4902111749365,,D,640,none,extraction-candidate,false,ブランド:extraction-candidate
328,ソフティモ クレンジングウォッシュ ブラック(160g),ソフティモ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4971710628159,,D,272,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
329,メナード TK ウオッシングクリームA 130g,メナード,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4549051713096,,D,2200,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
330,TWANY(トワニー) センチュリー ザ・ソープ 130g,トワニー,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4973167151983,,D,8083,high-outlier,normal,false,価格:high-outlier
331,化粧石鹸いつくしみ・ね！！そふと(122g),ねば塾,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4942722331146,,D,335,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
332,シェーンハイト 洗顔,インタートレードヘルスケア,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4545063000155,,D,1885,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
333,kira キラダブルクリーン 綺羅化粧品,KIRA,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,1001000013826129,,D,3000,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
334,メナード イルネージュ ウオッシングC 130g,メナード,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4549051711764,,D,6820,high-outlier,normal,false,価格:high-outlier
335,ウドエッセンス洗顔石鹸,ラサス,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4562137100108,,D,2450,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
336,メンズビオレ ザフェイス 毛穴汚れクリア 本体(200ml),メンズビオレ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901301439819,,D,687,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
337,ニベアメン アクティブエイジ ワンステップケア 本体(150ml),ニベアメン,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901301448484,,D,1159,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
338,上質な素肌へ導くアプローチ、ベルアージュソフナー 洗顔料,ハリウッド,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4961561165095,,D,5203,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
339,IPSA クレンジング フレッシュフォームe 125g,イプサ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4931449432441,,D,3000,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
340,菊正宗 日本酒の洗顔料RN(200g),菊正宗,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4971650801506,,D,666,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
341,ビオレ おうちdeエステ 肌をなめらかにするマッサージ洗顔ジェル 炭(150g),ビオレフェイスケア,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901301408495,,D,1100,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
342,ナイーブ メイク落とし洗顔フォーム お茶の葉エキス配合(200g),ナイーブ,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901417607928,,D,220,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
343,草花木果 洗顔ミルク 本体/きめ細かくクリーミーな泡 120ml,草花木果,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4589860101431,,D,2640,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
344,こんにゃくパフ 和の力 緑茶農場蒟蒻スポンジ,山本農場,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4993924010278,,D,1100,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
345,泡の洗顔料 ビタホイップ 本体(300ml),Vita,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4902895042744,,D,670,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
346,ラボプラス クリーミィーフォーム,CBS,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4544798102509,,D,4125,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
347,ダイブ 浅野いにお「おやすみプンプン」 ミニメモ C,ロイス,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4560237180204,,D,1980,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
348,ビオレ おうちdeエステ 泡クリームメイク落とし C(210ml),ビオレフェイスケア,rakuten_product_api,pending,pending,face,洗顔,false,,none,none,4901301464262,,D,1017,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
349,DHC ECCP フレッシュローション 200ml F1,DHC,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4511413520505,,D,1320,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
350,SOC 保湿化粧水(500ml),SOC,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4974297502508,,D,2646,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
351,グリーンボトル ボタニカル化粧水(200ml),グリーンボトル,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4904651187331,,D,2640,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
352,雪美人 スキンコンディショナー,スノーデン,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4987433070038,,D,9240,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
353,DECENCIA アヤナス モイストバリアミスト 50ml,ディセンシア,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4571289480792,,D,2098,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
354,LNCモイスチャーローションしっとりタイプ,日本生物製剤,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4987480017031,,D,5170,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
355,anzena アンジーナ フェイスウォーター化粧水,クレス,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4571494690061,,D,3300,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
356,acl アクル モイスト,日邦薬品,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4976084444060,,D,3765,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
357,EST LABOフィニッシングローション,エステラボ,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4544798101328,,D,3432,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
358,カツウラ スキンローションg ふつう,カツウラ化粧品,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4997204011245,,D,2970,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
359,プロステージ VC100 ビタミンC モイスチャーローション リッチ(500ml),プロステージ(PROSTAGE),rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4560300000378,,D,678,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
360,DEW アフターグロウドロップ GN(170ml),DEW(デュウ),rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4973167190401,,D,3190,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
361,アロエス しっとり化粧水(240ml),アロエス,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4901234240339,,D,669,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
363,GRACEONE(グレイスワン) 薬用 美白濃密液 230ml,グレイスワン,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4971710383089,,D,1025,none,normal,true,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
364,aveda アヴェダボタニカル キネティクス スキン トーニング エージェント,アヴェダ,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,0018084981023,,D,6094,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
365,ヘチマ水(150ml),天然実感,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4582494100115,,D,1760,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
366,アルージェ モイスチャーミストローションII しっとり Lサイズ(220ml),アルージェ,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4987305035264,,D,2363,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
367,CRECOS ピュアヘチマエッセンス 150ml,CRECOS,rakuten_product_api,pending,pending,face,化粧水,true,美容液,none,none,4560263171306,,D,4180,none,normal,false,現在化粧水／名称上は美容液候補
368,花梨の化粧水(200mL),アール・フィールド,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4571295870846,,D,2200,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
369,ちふれ 濃厚 化粧水(180ml),ちふれ,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4974972262819,,D,880,none,normal,false,自動監査上の明確な異常なし。公式商品ページ確認前のためpending維持
370,自由が丘クリニック ARES ステムCエッセンスローション 120ml,自由が丘クリニック,rakuten_product_api,pending,pending,face,化粧水,false,,none,none,4571109040014,,D,12671,high-outlier,normal,false,価格:high-outlier
