rank,phase,leftId,leftName,leftBrand,rightId,rightName,rightBrand,cosine,jaccard,classification,reason
28,before,221,ニベアUV ニベアメン UVプロテクトジェル 40g SPF50+ PA+++,ニベアメン,222,アネッサ パーフェクトUV スキンケアジェル NB,アネッサ,0.9544,0.8764,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
29,before,220,バルクオム BULKHOMME THE REPAIR LOTION 100ml ＋,BULK HOMME,234,NULL 薬用アクネブロックフェイスウォッシュ 本体/ライムシトラス,NULL,0.9536,0.8589,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
30,before,217,メンズビオレ 泡タイプ洗顔 つめかえ,メンズビオレ,235,ウーノ UVパーフェクションジェル fA 80g 男性化粧品 フェイス用,UNO,0.9526,0.8742,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
31,before,227,メンズビオレ ダブルスクラブ洗顔,メンズビオレ,235,ウーノ UVパーフェクションジェル fA 80g 男性化粧品 フェイス用,UNO,0.9526,0.8742,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
32,before,235,ウーノ UVパーフェクションジェル fA 80g 男性化粧品 フェイス用,UNO,237,花王 ニベアメンスキンコンディショナーバーム110ml メンズスキンケア 乳液,ニベアメン,0.9524,0.8688,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
33,before,216,ギャツビー フェイシャルウォッシュ パーフェクトスクラブ,GATSBY,221,ニベアUV ニベアメン UVプロテクトジェル 40g SPF50+ PA+++,ニベアメン,0.9520,0.8701,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
34,before,217,メンズビオレ 泡タイプ洗顔 つめかえ,メンズビオレ,236,コーセーコスメポート サンカット パーフェクトUV スプレー SPF50,コーセー,0.9505,0.8688,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
35,before,217,メンズビオレ 泡タイプ洗顔 つめかえ,メンズビオレ,237,花王 ニベアメンスキンコンディショナーバーム110ml メンズスキンケア 乳液,ニベアメン,0.9505,0.8688,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
36,before,227,メンズビオレ ダブルスクラブ洗顔,メンズビオレ,236,コーセーコスメポート サンカット パーフェクトUV スプレー SPF50,コーセー,0.9505,0.8688,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
37,before,227,メンズビオレ ダブルスクラブ洗顔,メンズビオレ,237,花王 ニベアメンスキンコンディショナーバーム110ml メンズスキンケア 乳液,ニベアメン,0.9505,0.8688,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
38,before,236,コーセーコスメポート サンカット パーフェクトUV スプレー SPF50,コーセー,237,花王 ニベアメンスキンコンディショナーバーム110ml メンズスキンケア 乳液,ニベアメン,0.9502,0.8634,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
39,before,224,ギャツビー EXパーフェクトエッセンス,GATSBY,228,DHCクレイ フェース ウォッシュ メンズ 洗顔 洗顔料 スキンケア 保湿,DHC,0.9490,0.8539,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
40,before,219,リップスボーイ 薬用フェイスウォッシュ 150ml 濃密 泡洗顔 メンズ,LIPPS BOY,235,ウーノ UVパーフェクションジェル fA 80g 男性化粧品 フェイス用,UNO,0.9481,0.8580,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
41,before,220,バルクオム BULKHOMME THE REPAIR LOTION 100ml ＋,BULK HOMME,241,ロート スキンアクア ネクスタ シールド セラム UV ミルク 50ml,ロート製薬,0.9478,0.8434,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
42,before,219,リップスボーイ 薬用フェイスウォッシュ 150ml 濃密 泡洗顔 メンズ,LIPPS BOY,236,コーセーコスメポート サンカット パーフェクトUV スプレー SPF50,コーセー,0.9460,0.8528,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
43,before,219,リップスボーイ 薬用フェイスウォッシュ 150ml 濃密 泡洗顔 メンズ,LIPPS BOY,237,花王 ニベアメンスキンコンディショナーバーム110ml メンズスキンケア 乳液,ニベアメン,0.9460,0.8528,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
44,before,210,ニベアメン アクティブエイジローション,ニベアメン,215,洗顔料＆泡立てネットセット THE FACE WASH＆THE BUBBLE,BULK HOMME,0.9452,0.8545,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
45,before,218,ウーノ uno ホイップウォッシュ 3+おまけ 炭 洗顔 アブラ テカリ サラサラ,UNO,241,ロート スキンアクア ネクスタ シールド セラム UV ミルク 50ml,ロート製薬,0.9449,0.8333,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
46,before,234,NULL 薬用アクネブロックフェイスウォッシュ 本体/ライムシトラス,NULL,240,POLA ポーラ ギャラントムII アフターシェーブローション 180ml 男性用,POLA,0.9442,0.8333,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
47,before,234,NULL 薬用アクネブロックフェイスウォッシュ 本体/ライムシトラス,NULL,238,ニベアメン センシティブ クール アフターシェーブバーム,ニベアメン,0.9423,0.8284,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
48,before,228,DHCクレイ フェース ウォッシュ メンズ 洗顔 洗顔料 スキンケア 保湿,DHC,229,ストーリア MARO マーロ 全身用クレンジングソープ つめかえ用 詰め替え用,MARO,0.9421,0.8554,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
49,before,222,アネッサ パーフェクトUV スキンケアジェル NB,アネッサ,226,ニベアメン フェイスウォッシュ モイスト,ニベアメン,0.9417,0.8444,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
50,before,229,ストーリア MARO マーロ 全身用クレンジングソープ つめかえ用 詰め替え用,MARO,233,OXY ディープウォッシュ 130g,OXY,0.9413,0.8452,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
1,after,473,コーセー コスメデコルテ AQ アブソリュートエマルジョンマイクロラディアンスII 付けかえ用 200mL,コスメデコルテ,476,コーセー コスメデコルテ AQ アブソリュートエマルジョン マイクロラディアンス II 200ml,コスメデコルテ,0.9710,0.9333,B,同シリーズの容量・タイプ・用途違い候補
2,after,252,サボン フェイスポリッシャー リラクシング ラベンダー 200ml,サボン,306,SABON フェイスポリッシャー リラクシングラベンダー 200ml,サボン,0.9683,0.9412,B,同シリーズの容量・タイプ・用途違い候補
3,after,574,ONE BY KOSE セラム ヴェール(60ml),ONE BY KOSE(ワンバイコーセー),624,ONE BY KOSE セラムヴェール ディープリペア(60ml),ONE BY KOSE(ワンバイコーセー),0.9630,0.9106,B,同シリーズの容量・タイプ・用途違い候補
4,after,472,コーセー インフィニティ コンセントレート エマルジョン 2 付けかえ用 120ml,コーセー,652,コーセー インフィニティ コンセントレート エマルジョン 1 120ml,コーセー,0.9590,0.9113,B,同シリーズの容量・タイプ・用途違い候補
5,after,462,DEW スペリア リペアエマルジョン とてもしっとり(100ml),DEWスペリア,484,DEW スペリア リペアエマルジョン さっぱり(100ml),DEWスペリア,0.9521,0.8898,B,同シリーズの容量・タイプ・用途違い候補
6,after,11,Torriden ダイブイン 低分子ヒアルロン酸トナー,Torriden,180,Torriden ダイブイン マイクロ ヒアルロン酸 トナーパッド,Torriden,0.9438,0.8475,B,同じダイブイン系だが、液状トナーと拭き取り用トナーパッドという剤形違い
7,after,495,チューンメーカーズ 原液スキンコンディショナー乳液(100ml),チューンメーカーズ(TUNEMAKERS),537,チューンメーカーズ 原液保湿乳液(100ml),チューンメーカーズ(TUNEMAKERS),0.9436,0.8672,A,同ブランド・近接カテゴリに由来する正当な類似
8,after,267,メンズビオレ ザフェイス うるおいケア 本体(200ml),メンズビオレ,336,メンズビオレ ザフェイス 毛穴汚れクリア 本体(200ml),メンズビオレ,0.9425,0.8718,A,同ブランド・近接カテゴリに由来する正当な類似
9,after,458,サナ なめらか本舗 薬用リンクル乳液 ホワイト(150ml),なめらか本舗,538,サナ なめらか本舗 リンクル乳液 N(150ml),なめらか本舗,0.9418,0.8696,A,同ブランド・近接カテゴリに由来する正当な類似
10,after,560,トランスダーマ A(30mL),トランスダーマ,628,トランスダーマ スポッツ ショット(6mL),トランスダーマ,0.9363,0.8532,A,同ブランド・近接カテゴリに由来する正当な類似
11,after,584,チューンメーカーズ レチノール誘導体配合(10ml),チューンメーカーズ(TUNEMAKERS),635,チューンメーカーズ トラネキサム酸配合(10ml),チューンメーカーズ(TUNEMAKERS),0.9360,0.8516,A,同ブランド・近接カテゴリに由来する正当な類似
12,after,525,ノエビア 88 ミルクローション 100ml,ノエビア,540,ノエビア80 ミルクローション,ノエビア,0.9358,0.8624,B,同シリーズの容量・タイプ・用途違い候補
13,after,552,まるまる美容液 ヒアルロン酸(20ml),まるまる美容液,579,まるまる美容液 ビタミンC誘導体(20ml),まるまる美容液,0.9318,0.8393,A,同ブランド・近接カテゴリに由来する正当な類似
14,after,552,まるまる美容液 ヒアルロン酸(20ml),まるまる美容液,597,まるまる美容液 プロテオグリカン(20ml),まるまる美容液,0.9318,0.8393,A,同ブランド・近接カテゴリに由来する正当な類似
15,after,479,アルビオン フラルネ フルリファイン ミルク f EM 200g,アルビオン,504,アルビオン フラルネ ブライトリファイン ミルク f EM 110g,アルビオン,0.9308,0.8512,B,同シリーズの容量・タイプ・用途違い候補
16,after,382,サナ なめらか本舗 ミルク化粧水 ND(200ml),なめらか本舗,421,なめらか本舗 マイルド化粧水 NC(200ml),なめらか本舗,0.9266,0.8348,A,同ブランド・近接カテゴリに由来する正当な類似
17,after,322,MENARD TK ウオッシングクリーム 無香料 130g,メナード,329,メナード TK ウオッシングクリームA 130g,メナード,0.9256,0.8632,A,同ブランド・近接カテゴリに由来する正当な類似
18,after,579,まるまる美容液 ビタミンC誘導体(20ml),まるまる美容液,597,まるまる美容液 プロテオグリカン(20ml),まるまる美容液,0.9248,0.8246,A,同ブランド・近接カテゴリに由来する正当な類似
19,after,566,ALBION エクシア ブライトニングイマキュレートセラム 1.5mL,アルビオン,601,アルビオン エクシア ブライトニング イマキュレート セラム Z,アルビオン,0.9231,0.8640,B,同シリーズの容量・タイプ・用途違い候補
20,after,502,資生堂 クレ・ド・ポー ボーテ クレームアンタンシヴn 50g,資生堂,507,資生堂 クレ・ド・ポー ボーテ クレームアンタンシヴn,クレ・ド・ポー ボーテ,0.9229,0.8870,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
21,after,90,ANUA ナイアシンアミド10% + TXA4% セラム,Anua,144,Anua 桃70% ナイアシン セラム,Anua,0.9227,0.8165,A,同ブランド・近接カテゴリに由来する正当な類似
22,after,100,rom&nd グラスティング ウォーター ティント,rom&nd,190,rom&nd グラスティング メルティング バーム,rom&nd,0.9194,0.8190,B,同じグラスティング系のリップだが、ウォーターティントとバームというタイプ違い
23,after,476,コーセー コスメデコルテ AQ アブソリュートエマルジョン マイクロラディアンス II 200ml,コスメデコルテ,478,コスメデコルテ AQ アブソリュート エマルジョン ブライト 200ml,コスメデコルテ,0.9186,0.8209,A,同ブランド・近接カテゴリに由来する正当な類似
24,after,276,ナイーブ メイク落とし洗顔フォーム(うるおい)(180g),ナイーブ,342,ナイーブ メイク落とし洗顔フォーム お茶の葉エキス配合(200g),ナイーブ,0.9172,0.8279,A,同ブランド・近接カテゴリに由来する正当な類似
25,after,497,SEKKISEI(雪肌精)薬用 雪肌精 乳液140ml,雪肌精,544,薬用 雪肌精 乳液 エンリッチ(140ml),雪肌精,0.9168,0.8333,A,同ブランド・近接カテゴリに由来する正当な類似
26,after,165,ファンケル ディープクリア洗顔パウダー,ファンケル,202,ファンケル 洗顔パウダー,ファンケル,0.9163,0.7961,B,同ブランドの洗顔パウダーで、シリーズ・仕様違い候補。公式SKU確認前は統合しない
27,after,121,Innisfree レチノール シカ アンプル,イニスフリー,175,イニスフリー レチノール シカ リペア アンプル,イニスフリー,0.9158,0.8349,D,商品名・分類・掲載情報が実質同一。容量・SKU未記録のため統合候補として要手動確認（自動統合しない）
28,after,272,ダヴ ビューティモイスチャークリーミー泡洗顔料(160ml),ダヴ(Dove) 泡洗顔,327,ダヴ 薬用ニキビケア クリーミー泡洗顔料(160ml),ダヴ(Dove) 泡洗顔,0.9142,0.8268,A,同ブランド・近接カテゴリに由来する正当な類似
29,after,329,メナード TK ウオッシングクリームA 130g,メナード,334,メナード イルネージュ ウオッシングC 130g,メナード,0.9091,0.8120,A,同ブランド・近接カテゴリに由来する正当な類似
30,after,473,コーセー コスメデコルテ AQ アブソリュートエマルジョンマイクロラディアンスII 付けかえ用 200mL,コスメデコルテ,478,コスメデコルテ AQ アブソリュート エマルジョン ブライト 200ml,コスメデコルテ,0.9038,0.7914,A,同ブランド・近接カテゴリに由来する正当な類似
31,after,583,オッペン化粧品 アルティメイト エッセンスR 40mL,オッペン化粧品,602,オッペン アルティメイト クリーム,オッペン化粧品,0.9028,0.8136,A,同ブランド・近接カテゴリに由来する正当な類似
32,after,537,チューンメーカーズ 原液保湿乳液(100ml),チューンメーカーズ(TUNEMAKERS),635,チューンメーカーズ トラネキサム酸配合(10ml),チューンメーカーズ(TUNEMAKERS),0.9011,0.7786,A,同ブランド・近接カテゴリに由来する正当な類似
33,after,7,イニスフリー グリーンティー ヒアルロン スキン,イニスフリー,197,イニスフリー グリーンティー クレンザー,イニスフリー,0.9009,0.7524,A,同ブランド・近接カテゴリに由来する正当な類似
34,after,557,ONE BY KOSE メラノショット ホワイト D ラージ(65ml),ONE BY KOSE(ワンバイコーセー),574,ONE BY KOSE セラム ヴェール(60ml),ONE BY KOSE(ワンバイコーセー),0.8990,0.7744,A,同ブランド・近接カテゴリに由来する正当な類似
35,after,433,薬用 雪肌精 エンリッチ(360ml),雪肌精,544,薬用 雪肌精 乳液 エンリッチ(140ml),雪肌精,0.8987,0.7965,A,同ブランド・近接カテゴリに由来する正当な類似
36,after,537,チューンメーカーズ 原液保湿乳液(100ml),チューンメーカーズ(TUNEMAKERS),584,チューンメーカーズ レチノール誘導体配合(10ml),チューンメーカーズ(TUNEMAKERS),0.8980,0.7727,A,同ブランド・近接カテゴリに由来する正当な類似
37,after,573,ONE BY KOSE ザ リンクレス S レギュラー キット(1セット),ONE BY KOSE(ワンバイコーセー),607,ONE BY KOSE (ワンバイコーセー) ザ リンクレス W(18g),ONE BY KOSE(ワンバイコーセー),0.8975,0.8077,A,同ブランド・近接カテゴリに由来する正当な類似
38,after,492,ベネフィーク エマルジョンEX C 150ml,資生堂,511,キリョウ エマルジョン i,資生堂,0.8967,0.7965,A,同ブランド・近接カテゴリに由来する正当な類似
39,after,574,ONE BY KOSE セラム ヴェール(60ml),ONE BY KOSE(ワンバイコーセー),607,ONE BY KOSE (ワンバイコーセー) ザ リンクレス W(18g),ONE BY KOSE(ワンバイコーセー),0.8963,0.8016,A,同ブランド・近接カテゴリに由来する正当な類似
40,after,292,ロゼット 洗顔パスタ 本体/グリーンティーの香り 120g,ロゼット,305,ロゼット洗顔パスタ 海泥スムース 180g,ロゼット,0.8937,0.7833,A,同ブランド・近接カテゴリに由来する正当な類似
41,after,563,綾花 潤肌実 美容液(30ml),綾花,565,R4トーニングセラム(美容液)(30ml),京未来,0.8932,0.7857,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
42,after,296,ちふれ 泡洗顔 S(180ml),ちふれ,369,ちふれ 濃厚 化粧水(180ml),ちふれ,0.8920,0.8056,A,同ブランド・近接カテゴリに由来する正当な類似
43,after,522,日本オリーブ オリーブマノン 薬用美白乳液 100ml,日本オリーブ,641,日本オリーブ オリーブマノン ナチュラルE オイル 15ml,日本オリーブ,0.8889,0.7500,A,同ブランド・近接カテゴリに由来する正当な類似
44,after,287,こんにゃくスポンジ和の力フェイス用白,山本農場,344,こんにゃくパフ 和の力 緑茶農場蒟蒻スポンジ,山本農場,0.8870,0.7815,A,同ブランド・近接カテゴリに由来する正当な類似
45,after,573,ONE BY KOSE ザ リンクレス S レギュラー キット(1セット),ONE BY KOSE(ワンバイコーセー),574,ONE BY KOSE セラム ヴェール(60ml),ONE BY KOSE(ワンバイコーセー),0.8855,0.7481,A,同ブランド・近接カテゴリに由来する正当な類似
46,after,401,日本オリーブ オリーブマノン 紫草化粧水 146ml,日本オリーブ,522,日本オリーブ オリーブマノン 薬用美白乳液 100ml,日本オリーブ,0.8849,0.7603,A,同ブランド・近接カテゴリに由来する正当な類似
47,after,640,カネボウ イルミネイティング セラムa 50ml,カネボウ,647,カネボウ ドロッピング オイル 40ml,カネボウ,0.8835,0.7647,A,同ブランド・近接カテゴリに由来する正当な類似
48,after,210,ニベアメン アクティブエイジローション,ニベアメン,231,ニベアメン アクティブエイジクリーム,ニベアメン,0.8821,0.7670,A,同じアクティブエイジ系だが、ローションとクリームという役割の異なる商品
49,after,563,綾花 潤肌実 美容液(30ml),綾花,568,EMセラム 卵殻膜美容液 30ml,ビューティードア,0.8818,0.7652,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
50,after,65,VT シカ デイリースージングマスク,VT Cosmetics,174,VT シナモロール限定 CICAデイリースージングマスク,VT Cosmetics,0.8813,0.7422,B,同じCICAデイリースージングマスクの通常品と限定パッケージ候補
